location_name,sdi_value,sdi_group,high_quality_vr,total_rate,total_deaths,frontier_main,gap_main,avoid_main,frontier_hq,gap_hq,avoid_hq
Mongolia,0.659697833,Middle,FALSE,46.366476195898215,177.2589143081073,27.059935764771733,19.306540431126482,73.80885235720817,40.798692140833595,5.567784055064621,21.285623529658157
Hungary,0.793609757,High-middle,TRUE,23.811804790566235,108.29817301083678,16.31050696634524,7.501297824220995,34.11655927463114,19.490594407083687,4.321210383482548,19.653243164164582
Bhutan,0.52425393,Low-middle,FALSE,77.3642503322702,39.39040065778856,42.62011111801783,34.74413921425237,17.6901547973576,42.86461701296325,34.49963331930695,17.565663380149697
Puerto Rico,0.847508564,High,TRUE,33.32246146928156,28.022290836210225,13.397509883899868,19.924951585381695,16.75574863332603,13.402349514810838,19.920111954470727,16.751678779571314
Georgia,0.754633377,High-middle,TRUE,33.97562324740191,76.30259108698061,18.87070256507749,15.104920682324423,33.9226915083246,26.912969582114826,7.062653665287087,15.861335955112304
Finland,0.89081503,High,TRUE,19.07135879847692,44.91703287505328,11.471155313637947,7.600203484838971,17.900066450056503,12.632480683335979,6.438878115140939,15.164902670665715
Brunei Darussalam,0.832363947,High,FALSE,66.76603803009188,18.700848983352937,14.152303603590555,52.613734426501324,14.736856206995224,14.500657077855331,52.26538095223655,14.639284059429485
Belgium,0.876976215,High,TRUE,14.787070909404173,86.70863239064255,12.052122682501158,2.7349482269030148,16.037227512255743,12.573257666874227,2.2138132425299464,12.981388931190306
Norway,0.916927776,High,TRUE,17.86720629658841,49.255062213347735,10.453795643473276,7.413410653115134,20.43677096860983,13.286074745718382,4.581131550870028,12.628942421105766
Lithuania,0.856187639,High,TRUE,23.095637233370606,28.611919557088243,12.98502752587353,10.110609707497076,12.525480405712251,12.994940165914596,10.10069706745601,12.513200179079512
Albania,0.706767038,High-middle,FALSE,44.3721233699218,52.80144223810478,22.649687087047184,21.722436282874618,25.84902135737339,35.42202965656811,8.950093713353695,10.650332243320422
Cabo Verde,0.562409777,Low-middle,FALSE,67.24529269077473,25.47540545971621,37.913729242582676,29.331563448192057,11.11205620066542,43.16769248904305,24.077600201731684,9.121629233687743
Singapore,0.869993868,High,TRUE,16.113435356693344,40.56405637695552,12.357118898842039,3.7563164578513053,9.456173012955476,12.63875199850744,3.4746833581859047,8.747188201240665
Sao Tome and Principe,0.522633002,Low-middle,FALSE,76.0585591153559,16.896129491189264,42.82500419062741,33.233554924728494,7.382712136435872,42.85171512751883,33.206843987837075,7.376778399933398
Maldives,0.660888616,Middle,FALSE,63.089257518631946,20.12686424495254,26.94030210444957,36.148955414182375,11.532313849203588,40.704103620961426,22.38515389767052,7.141357678329427
Nepal,0.471006784,Low-middle,FALSE,42.661314238802994,1209.6545386333414,49.55539004969488,0,0,42.442817998087165,0.21849624071582952,6.195424917683975
Latvia,0.8508436,High,TRUE,19.82595257944449,17.639257112957036,13.237333318825558,6.588619260618932,5.861930148967127,13.226988798441138,6.598963781003352,5.871133724635929
Bahamas,0.813601011,High,FALSE,44.22326330661535,9.331195687798736,15.153998150318456,29.069265156296893,6.133672221184528,16.535288844021398,27.687974462593953,5.842217163349633
Croatia,0.782133463,High-middle,TRUE,24.472601569846205,43.09662845404651,17.0199593258107,7.452642244035506,13.124217826840061,21.511471024795856,2.9611305450503487,5.214596516833052
Malta,0.830491207,High,TRUE,35.708256499146444,8.42249401381644,14.248874492291812,21.459382006854632,5.061616953974041,14.670459115158017,21.037797383988426,4.962177935928101
Kenya,0.548710797,Low-middle,FALSE,43.1337523064566,2563.425566797773,39.57735900187496,3.55639330458164,211.35535479922436,43.05975522634981,0.07399708010679262,4.397623598022595
Guam,0.811868521,High-middle,FALSE,51.75378859308332,5.952430928772075,15.250446091528971,36.50334250155435,4.198410025944485,16.76011451982511,34.99367407325821,4.024776417873102
Seychelles,0.753016949,High-middle,FALSE,79.0013190749847,5.864971641014786,18.98658050069017,60.01473857429454,4.455428642236525,27.23433658003359,51.766982494951115,3.843124239300632
