location_name,sdi_value,sdi_group,total_rate,total_deaths,frontier_asmr,efficiency_gap,gap_pct,avoidable_deaths
Dominican Republic,0.658091059,Middle,51.77273111606834,526.110056225132,27.22395074199336,24.548780374074983,47.41642916043877,249.46260211593426
Cambodia,0.499953382,Low-middle,69.75559475104619,1211.5645655688231,45.73113018259,24.02446456845619,34.440914243793856,417.273913035752
Viet Nam,0.64302812,Middle,52.33018097898775,4108.243286915067,28.77660314394037,23.553577835047378,45.00954782576597,1849.1017270228572
Central African Republic,0.259147219,Low,105.0490136742802,1272.3352552982733,81.82410977296115,23.224903901319053,22.108635853860807,281.2959684341854
Madagascar,0.379987683,Low,85.38495007399052,3951.865863055463,62.39303755953491,22.991912514455613,26.927359557547227,1064.1331301769114
Sri Lanka,0.730697976,High-middle,43.40574919382158,617.1547293401508,20.672588782841412,22.733160410980165,52.37361601447955,323.2262481598111
Saint Kitts and Nevis,0.754464215,High-middle,41.56630293952973,1.2384957427190793,18.88431780197942,22.681985137550306,54.56820437109321,0.6758248880142359
Tajikistan,0.551182019,Low-middle,61.91526155252149,835.3209368766647,39.27404430615697,22.64121724636452,36.56807171388337,305.46075923814124
Uruguay,0.745444259,High-middle,42.02935061841444,73.49825611067726,19.54224325619536,22.48710736221908,53.503342381803876,39.32402361155074
Mauritania,0.518009346,Low-middle,65.59472674202075,436.72516028558624,43.40996114505936,22.18476559696139,33.82095893807508,147.70463713243066
Qatar,0.859589918,High,34.650378856194436,52.50339781162073,12.827217960095519,21.82316089609892,62.981016705961935,33.0671737469345
Albania,0.706767038,High-middle,44.3721233699218,52.80144223810478,22.65250988273711,21.71961348718469,48.94878098600889,25.845662318583898
Malta,0.830491207,High,35.708256499146444,8.42249401381644,14.248577439630406,21.459679059516038,60.097246865102484,5.061687019681744
Georgia,0.8629828,High,33.97562324740191,76.30259108698061,12.67190412474973,21.303719122652183,62.702953136499886,47.84397793120459
Kiribati,0.542688753,Low-middle,61.297361630053565,9.152357498042852,40.31683155880382,20.980530071249746,34.22746022556895,3.132619522344495
Malaysia,0.770371353,High-middle,38.44333229554359,885.4982806996433,17.78503818730561,20.658294108237982,53.73700164549139,475.84022567036527
Burundi,0.307259853,Low,94.09031118520127,2189.636708145762,73.68704122910815,20.403269956093126,21.68477253298977,474.8177394602535
Tuvalu,0.611233842,Middle,52.59896716208618,0.629089923052089,32.23481002247321,20.36415713961297,38.71588785547797,0.24355774911895944
Puerto Rico,0.847508564,High,33.32246146928156,28.022290836210225,13.397396956576289,19.925064512705276,59.7946959322716,16.755843598768713
Bulgaria,0.770862429,High-middle,37.074574683659264,112.17183342766545,17.752311772043207,19.322262911616058,52.11728813205349,58.460917630503495
Mongolia,0.659697833,Middle,46.366476195898215,177.2589143081073,27.06194991500637,19.304526280891846,41.63466337042799,73.80115226625588
Lesotho,0.509816661,Low-middle,63.63657619715562,129.07818266270357,44.45714156258672,19.1794346345689,30.139010897047864,38.902887538423585
Belarus,0.803625792,High-middle,33.90638717907946,147.9937955362514,15.718695367341963,18.187691811737494,53.64090168521246,79.38520636381497
Russian Federation,0.822523587,High,32.76259952025722,2049.0652389844827,14.667717359075963,18.094882161181253,55.230300483309115,1131.7048885901659
Belize,0.628475098,Middle,48.36692018484894,17.409336335879782,30.33142417905042,18.035496005798517,37.28890724666853,6.491751278546772
Grenada,0.678048084,Middle,42.974376105858205,3.0642687788989806,25.2640134427976,17.710362663060604,41.21144800202545,1.2628295344582536
